Variable,Category,N,Mean,Std,Min,Q25,Median,Q75,Max,Skewness,Kurtosis,CV
dvol,Dependent Variable,37927,62.555574656577114,18.733387625850458,31.47,49.265,58.26,75.05,166.39,0.7793141337666252,0.4439194977204699,0.29946791678750606
dvol_lag1,Lagged DVOL,37927,62.58503783584255,18.742530100140634,31.47,49.3,58.29,75.095,166.39,0.7763684376783987,0.4355720816470652,0.29947301700609913
dvol_lag7,Lagged DVOL,37927,62.73702665647164,18.744469090476752,31.47,49.56,58.42,75.35499999999999,166.39,0.7622324272009995,0.41055682737916666,0.29877841028577284
dvol_lag30,Lagged DVOL,37927,63.39447122102987,18.60785067658108,31.47,50.295,58.98,76.4,166.39,0.7315113141556575,0.36161251214867907,0.29352481877644077
transaction_volume_usd,On-chain Metrics,37927,3145432543.5248075,3818400521.4191437,26526988.48452226,1052690825.0285552,1957705203.219459,3743370515.704108,125674941946.66109,6.019893254456162,93.85423788247319,1.2139508536845622
active_addresses,On-chain Metrics,37927,15674.366124396867,9646.654257085474,244.0,9214.5,13232.0,19209.5,98585.0,1.7682406236292934,4.580308842178335,0.6154414271382006
nvrv,On-chain Metrics,37927,0.8019932090952344,0.5254156761287866,-0.2485876136940758,0.3700217970440549,0.8935553639107897,1.2198897125667894,2.000880217240681,-0.22644423360873403,-0.8890995133248771,0.6551373130971174
dvol_rv_spread,Derived Features,37927,21.464894015962336,38.522826199868945,-294.3469015868227,6.398974714482227,28.14425935493118,45.78466581668937,92.1676866718446,-1.8630769265080247,6.83985821851924,1.7946897930742869
realized_volatility_30d,Derived Features,37927,41.09068064061477,44.278179318162735,-54.411688104821806,11.885810583719012,36.72184754788191,61.45537518738362,354.5169015868227,1.3417302900428516,4.067378846432269,1.0775723017446779
