timestamp_ms,datetime_utc,instrument_name,strike,expiration_timestamp,option_type,mark_price,open_interest,underlying_price,delta,gamma,vega,theta,rho
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-48000-C,48000.0,1616572800000,call,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-48000-P,48000.0,1616572800000,put,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-50000-C,50000.0,1616572800000,call,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-50000-P,50000.0,1616572800000,put,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-51000-C,51000.0,1616572800000,call,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-51000-P,51000.0,1616572800000,put,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-52000-C,52000.0,1616572800000,call,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-52000-P,52000.0,1616572800000,put,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-53000-C,53000.0,1616572800000,call,,,,,,,,
1616558400000,2021-03-24T00:00:00,BTC-24MAR21-53000-P,53000.0,1616572800000,put,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-30000-C,30000.0,1622620800000,call,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-30000-P,30000.0,1622620800000,put,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-32000-C,32000.0,1622620800000,call,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-32000-P,32000.0,1622620800000,put,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-33000-C,33000.0,1622620800000,call,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-33000-P,33000.0,1622620800000,put,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-34000-C,34000.0,1622620800000,call,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-34000-P,34000.0,1622620800000,put,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-35000-C,35000.0,1622620800000,call,,,,,,,,
1622563200000,2021-06-01T12:00:00,BTC-2JUN21-35000-P,35000.0,1622620800000,put,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-38000-C,38000.0,1641110400000,call,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-38000-P,38000.0,1641110400000,put,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-40000-C,40000.0,1641110400000,call,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-40000-P,40000.0,1641110400000,put,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-41000-C,41000.0,1641110400000,call,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-41000-P,41000.0,1641110400000,put,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-42000-C,42000.0,1641110400000,call,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-42000-P,42000.0,1641110400000,put,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-43000-C,43000.0,1641110400000,call,,,,,,,,
1641056400000,2022-01-01T12:00:00,BTC-2JAN22-43000-P,43000.0,1641110400000,put,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-13000-C,13000.0,1672646400000,call,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-13000-P,13000.0,1672646400000,put,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-14000-C,14000.0,1672646400000,call,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-14000-P,14000.0,1672646400000,put,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-14500-C,14500.0,1672646400000,call,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-14500-P,14500.0,1672646400000,put,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-15000-C,15000.0,1672646400000,call,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-15000-P,15000.0,1672646400000,put,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-15500-C,15500.0,1672646400000,call,,,,,,,,
1672592400000,2023-01-01T12:00:00,BTC-2JAN23-15500-P,15500.0,1672646400000,put,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-37000-C,37000.0,1704182400000,call,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-37000-P,37000.0,1704182400000,put,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-37500-C,37500.0,1704182400000,call,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-37500-P,37500.0,1704182400000,put,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-38000-C,38000.0,1704182400000,call,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-38000-P,38000.0,1704182400000,put,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-38500-C,38500.0,1704182400000,call,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-38500-P,38500.0,1704182400000,put,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-39000-C,39000.0,1704182400000,call,,,,,,,,
1704128400000,2024-01-01T12:00:00,BTC-2JAN24-39000-P,39000.0,1704182400000,put,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-82000-C,82000.0,1735804800000,call,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-82000-P,82000.0,1735804800000,put,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-84000-C,84000.0,1735804800000,call,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-84000-P,84000.0,1735804800000,put,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-86000-C,86000.0,1735804800000,call,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-86000-P,86000.0,1735804800000,put,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-88000-C,88000.0,1735804800000,call,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-88000-P,88000.0,1735804800000,put,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-89000-C,89000.0,1735804800000,call,,,,,,,,
1735750800000,2025-01-01T12:00:00,BTC-2JAN25-89000-P,89000.0,1735804800000,put,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-100000-C,100000.0,1756800000000,call,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-100000-P,100000.0,1756800000000,put,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-102000-C,102000.0,1756800000000,call,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-102000-P,102000.0,1756800000000,put,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-104000-C,104000.0,1756800000000,call,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-104000-P,104000.0,1756800000000,put,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-105000-C,105000.0,1756800000000,call,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-105000-P,105000.0,1756800000000,put,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-106000-C,106000.0,1756800000000,call,,,,,,,,
1756742400000,2025-09-01T12:00:00,BTC-2SEP25-106000-P,106000.0,1756800000000,put,,,,,,,,
